anmerkung_gedruckt_von;anmerkung_Drucker;Drucker;gnd_Drucker;tw_id;ISNI;IDD
veuve Jean Trepperel et Jean Jehannot (USTC);null;Agostino Zani;1150711809;null;null;IDD-001
veuve Jean Trepperel et Jean Jehannot (USTC);null;Jean Jehannot;1037657144;null;null;IDD-001
null;null;Alain Lotrian;1037598210;null;null;IDD-002
null;Druckerin und Buchhändlerin;Witwe von Jean Trepperel (GND 1089251890);1150711809;null;null;IDD-003
Guillaume Desplains [et] Guillaume Eustace [et] [Raoul Couturier  (USTC);null;Guillaume Desplains;null;null;0000 0000 7783 2834;IDD-004
Guillaume Desplains [et] Guillaume Eustace [et] [Raoul Couturier  (USTC);Drucker und Verleger;Guillaume Eustace;null;null;0000 0003 6030 1668;IDD-004
Guillaume Desplains [et] Guillaume Eustace [et] [Raoul Couturier  (USTC);null;Raoul Couturier;null;null;null;IDD-004
null;null;Jean de Romoys;null;null;0000 0001 1357 7149;IDD-005
 per Antoine Bonnemère expensis Jean Frellon [et] [Nicolas des Prez] [et] François [Regnault (USTC);null;Antoine Bonnemère;1089741243;null;null;IDD-006
 per Antoine Bonnemère expensis Jean Frellon [et] [Nicolas des Prez] [et] François [Regnault (USTC);null;François Regnault;1037566718;null;null;IDD-006
 per Antoine Bonnemère expensis Jean Frellon [et] [Nicolas des Prez] [et] François [Regnault (USTC);null;Jean Frellon;1037511565;null;null;IDD-006
André Bocard] venundantur Jean Petit (USTC);null;André Bocard;1037573307;null;null;IDD-007
André Bocard] venundantur Jean Petit (USTC);Buchhändler;Jean Petit;(1) 103753445X oder (2) 1037534433;null;null;IDD-007
null;null;Gilles de Gourmont;1037571444;null;null;IDD-008
null;null;Jodocus Badius Ascensius;11901808X;null;null;IDD-009
null;null;Jean de Moylin;1037572815;null;null;IDD-010
null;null;Etienne Gueynard;129023329;null;null;IDD-011
null;null;Jacques Myt;1037545036;null;null;IDD-012
null;null;Jean Moylin;1037572815;null;null;IDD-013
null;null;in aedibus Claude Nourry;(https://data.bnf.fr/12230853/claude_nourry/);null;0000 0001 2137 3111;IDD-014
Jean Frellon [et] Antoine Bonnemère (USTC);null;Antoine Bonnemère;1089741243;null;null;IDD-015
Jean Frellon [et] Antoine Bonnemère (USTC);null;Jean Frellon;1037511565;null;null;IDD-015
null;null;Gilles de Gourmont;1037571444;null;null;IDD-016
Antoine Bonnemère [et] François Regnault [et] Jean Frellon (USTC);null;Antoine Bonnemère;1089741243;null;null;IDD-017
Antoine Bonnemère [et] François Regnault [et] Jean Frellon (USTC);null;François Regnault;1037566718;null;null;IDD-017
Antoine Bonnemère [et] François Regnault [et] Jean Frellon (USTC);null;Jean Frellon;1037511565;null;null;IDD-017
[Guillaume Desplains] [et] Guillaume Eustace (USTC);null;Guillaume Desplains;null;null;null;IDD-018
[Guillaume Desplains] [et] Guillaume Eustace (USTC);Drucker und Verleger;Guillaume Eustace;null;null;0000 0003 6030 1668;IDD-018
