IDD,anmerkung,Datum
IDD-344,null,1472-11-05
IDD-343,null,1472-11-19
IDD-327,null,1473-04-28
IDD-195,null,1475-06-06
IDD-312,null,1475-06-17
IDD-285,null,1475-06-19
IDD-284,null,1475-06-20
IDD-301,null,1475-06-24
IDD-283,null,1475-07-24
IDD-303,null,1475-09-06
IDD-291,null,1476-02-09
IDD-196,null,1477-12-20
IDD-322,(1) 1478-01-01 oder (2) 1479-01-01,1478-01-01
IDD-201,null,1478-01-07
IDD-322,(1) 1478-01-01 oder (2) 1479-01-01,1479-01-01
IDD-324,(1) 1479-04-22 und (2) 1479-04-30,1479-04-22
IDD-324,(1) 1479-04-22 und (2) 1479-04-30,1479-04-30
IDD-299,null,1480-05-12
IDD-298,null,1480-07-14
IDD-321,null,1481-03-10
IDD-353,null,1481-05-30
IDD-374,null,1481-07-31
IDD-336,null,1481-11-14
IDD-293,null,1482-09-05
IDD-352,null,1483-05-13
IDD-351,null,1484-05-08
IDD-318,null,1485-03-28
IDD-158,null,1485-10-10
IDD-317,null,1485-10-27
IDD-244,null,1485-11-22
IDD-039,null,1486-10-18
IDD-322,null,1487-03-17
IDD-241,null,1487-05-22
IDD-372,null,1489-08-08
IDD-346,null,1489-10-03
IDD-294,null,1490-09-07
IDD-169,null,1490-10-18
IDD-350,null,1492-06-20
IDD-366,(1) 1494-01-31 oder (2) 1495-01-31,1494-01-31
IDD-159,null,1494-02-25
IDD-328,null,1494-06-27
IDD-366,(1) 1494-01-31 oder (2) 1495-01-31,1495-01-31
IDD-375,null,1495-04-18
IDD-370,null,1495-04-26
IDD-304,null,1496-05-13
IDD-246,(1) 1496-10-08 und (2) 1496-10-15,1496-10-08
IDD-246,(1) 1496-10-08 und (2) 1496-10-15,1496-10-15
IDD-192,null,1496-10-27
IDD-247,null,1496-11-08
IDD-243,null,1497-11-23
IDD-339,null,1497-12-18
IDD-205,null,1498-03-19
IDD-140,null,1498-12-01
IDD-349,null,1498-12-05
IDD-295,null,1498-12-22
IDD-025,null,1499-09-02
IDD-335,null,1500-05-14
IDD-182,null,1500-09-20
IDD-141,null,1502-05-15
IDD-109,null,1508-02-14
IDD-103,null,1509-01-03
IDD-104,null,1509-01-03
IDD-383,null,1509-01-03
IDD-384,null,1509-01-03
IDD-252,null,1511-11-26
IDD-034,null,1520-07-02
IDD-388,null,"1440-00-00, um"
IDD-389,null,"1440-00-00, um"
IDD-390,null,"1470-00-00, um"
IDD-359,?,"1470-00-00, um"
IDD-199,null,"1470-05-00, nicht nach"
IDD-162,null,"1470-10-10, vor"
IDD-358,null,1471-00-00
IDD-227,null,1471-00-00--1475-00-00
IDD-156,null,"1471-00-00, nicht nach"
IDD-314,null,"1471-04-00, nicht nach"
IDD-391,null,1472-00-00
IDD-392,null,1472-00-00
IDD-184,"(1) 1476-00-00, nicht nach (2) 1472-00-00, vielmehr nicht nach",1472-00-00
IDD-357,null,1472-00-00
IDD-332,null,1472-00-00--1473-00-00
IDD-337,null,1473-00-00
IDD-024,"(1) 1473-00-00 (GW). (2) 1474-00-00--1475-00-00 (USTC, ISTC)",1473-00-00
IDD-151,null,1473-00-00
IDD-168,"(1) 1476-00-00, um  (vielmehr) (GW, IST,; USTC) (2) 1473-00-00, um (fälschlicherweise)",1473-00-00
IDD-228,null,1473-00-00
IDD-036,null,1474-00-00
IDD-152,null,1474-00-00
IDD-229,null,1474-00-00
IDD-310,null,1474-00-00
IDD-338,null,1474-00-00
IDD-024,"(1) 1473-00-00 (GW). (2) 1474-00-00--1475-00-00 (USTC, ISTC)",1474-00-00--1475-00-00
IDD-160,null,"1474-00-00, nicht nach"
IDD-153,null,"1474-00-00, um"
IDD-200,null,"1474-00-00, um"
IDD-224,null,"1474-00-00, um"
IDD-225,null,"1474-00-00, um"
IDD-333,null,"1474-04-00, nicht vor"
IDD-171,null,"1474-07-06, vor"
IDD-300,?,1475-00-00
IDD-331,null,1475-00-00
IDD-313,null,1475-00-00
IDD-037,null,1475-00-00
IDD-210,null,1475-00-00--1476-00-00
IDD-282,null,1475-00-00--1476-00-00
IDD-038,null,1475-00-00--1476-05-25
IDD-309,null,"1475-00-00, um"
IDD-393,null,"1475-00-00, um"
IDD-394,null,"1475-00-00, um"
IDD-186,"(1) 1475-00-00, um (ISTC) [2] 1478-00-00--1480-00-00, um (GW)","1475-00-00, um"
IDD-234,null,"1475-04-04, nach"
IDD-235,null,"1475-04-04, nach"
IDD-236,null,"1475-04-04, nach"
IDD-237,null,"1475-04-04, nach"
IDD-288,null,"1475-04-04, nach"
IDD-289,null,"1475-04-04, nach"
IDD-290,null,"1475-04-04, nach"
IDD-286,null,"1475-04-30, nach"
IDD-287,null,"1475-04-30, nach"
IDD-157,null,"1475-05-10, vor"
IDD-230,null,"1475-06-17, vor"
IDD-296,null,"1475-12-06, nach"
IDD-168,"(1) 1476-00-00, vielmehr um (2) 1473-00-00, um",1476-00-00
IDD-209,null,1476-00-00
IDD-187,"(1) 1476-00-00, (2) 1477-00-00, um",1476-00-00
IDD-184,"(1) 1476-00-00, nicht nach (2) 1472-00-00, vielmehr nicht nach",1476-00-00
IDD-326,null,1476-00-00
IDD-355,null,1476-00-00
IDD-356,null,1476-00-00
IDD-342,"(1) 1476-00-00--1478-00-00 (USTC), (2) 1477-00-00--1478-00-00 (GW)",1476-00-00--1478-00-00
IDD-231,null,"1476-00-00, um"
IDD-292,null,"1476-00-00, um"
IDD-302,null,"1476-00-00, um"
IDD-325,null,1477-00-00
IDD-347,null,1477-00-00
IDD-342,"(1) 1476-00-00--1478-00-00 (USTC), (2) 1477-00-00--1478-00-00 (GW)",1477-00-00--1478-00-00
IDD-371,null,"1477-00-00--1478-00-00, um"
IDD-187,"(1) 1476-00-00, (2) 1477-00-00, um","1477-00-00, um"
IDD-281,null,"1477-00-00, um"
IDD-316,null,"1477-00-00, um"
IDD-363,null,"1477-00-00, um"
IDD-354,null,1478-00-00
IDD-308,null,1478-00-00--1480-00-00
IDD-186,"(1) 1475-00-00, um (ISTC) [2] 1478-00-00--1480-00-00, um (GW)","1478-00-00--1480-00-00, um"
IDD-233,null,"1478-00-00--1481-00-00, um"
IDD-297,null,"1478-00-00, um"
IDD-315,null,"1478-00-00, um"
IDD-323,"(1) 1489-00-00, fälschlicherweise, vielmehr (2) 1479-00-00",1479-00-00
IDD-155,null,1479-00-00
IDD-174,null,1479-00-00
IDD-188,"(1) 1479-00-00--1484-00-00, um oder (2) 1481-00-00, nicht nach","1479-00-00--1484-00-00, um"
IDD-395,null,"1479-00-00, nach"
IDD-311,null,"1479-11-24, nach"
IDD-396,null,1480-00-00
IDD-385,null,1480-00-00--1481-00-00
IDD-305,null,"1480-00-00, um"
IDD-306,null,"1480-00-00, um"
IDD-172,null,1481-00-00
IDD-173,null,1481-00-00
IDD-341,null,1481-00-00
IDD-345,null,1481-00-00
IDD-188,"(1) 1479-00-00--1484-00-00, um oder (2) 1481-00-00, nicht nach","1481-00-00, nicht nach"
IDD-376,null,"1481-00-00, um"
IDD-320,null,1482-00-00
IDD-373,null,1482-00-00--1483-00-00
IDD-361,"(1) 1482-00-00--1488-00-00, um (ISTC) oder (2) 1493-00-00--1494-00-00, um (GW)","1482-00-00--1488-00-00, um"
IDD-193,null,"1482-00-00, um"
IDD-319,null,1483-00-00
IDD-181,null,1483-00-00--1484-00-00
IDD-175,null,"1483-00-00--1488-00-00, um"
IDD-307,null,"1483-00-00--1488-00-00, um"
IDD-203,(1) 1483-00-00--1490-00-00 (2) 1485-00-00,1483-00-00--1490-00-00
IDD-189,null,"1483-00-00, um"
IDD-226,null,"1483-00-00, um"
IDD-382,null,1484-00-00--1485-00-00
IDD-142,null,1485-00-00
IDD-203,(1) 1483-00-00--1490-00-00 (2) 1485-00-00,1485-00-00
IDD-368,(1) 1485-02-28 (GW) oder (2) 1485-00-00 (ISTC) oder (3) 1486-00-00 (ISTC),1485-00-00
IDD-190,"(1) 1485-00-00, nicht vor (USTC, ISTC) oder (2) 1486-00-00, um (GW)","1485-00-00, nicht vor"
IDD-334,null,"1485-00-00, um"
IDD-029,"(1) 1485-05-07, nach oder (2) 1488-00-00, um (USTC)","1485-05-07, nach"
IDD-368,(1) 1485-02-28 (GW) oder (2) 1485-00-00 (ISTC) oder (3) 1486-00-00 (ISTC),1486-00-00
IDD-143,null,1486-00-00--1487-00-00
IDD-190,"(1) 1485-00-00, nicht vor (USTC, ISTC) oder (2) 1486-00-00, um (GW)","1486-00-00, um"
IDD-329,null,"1486-03-24, nach"
IDD-330,null,"1486-03-24, nach"
IDD-041,"(1) 1490-00-00--1491-00-00 oder (2) 1487-02-14--1490-05-21 oder (3) 1488-00-00 (GW) oder (4) 1491-00-00, um [vielmehr: 1487-00-00, nicht vor und 1490-00-00, nicht nach] (GW)",1487-02-14--1490-05-21
IDD-040,null,1487-07-25--1487-12-17
IDD-041,"(1) 1490-00-00--1491-00-00 oder (2) 1487-02-14--1490-05-21 oder (3) 1488-00-00 (GW) oder (4) 1491-00-00, um [vielmehr: 1487-00-00, nicht vor und 1490-00-00, nicht nach] (GW)",1488-00-00
IDD-245,null,"1488-00-00--1490-00-00, um"
IDD-223,null,"1488-00-00, um"
IDD-232,null,"1488-00-00, um"
IDD-029,"(1) 1485-05-07, nach oder (2) 1488-00-00, um (USTC)","1488-00-00, um"
IDD-323,"(1) 1489-00-00, fälschlicherweise, vielmehr (2) 1479-00-00",1489-00-00
IDD-163,null,"1489-00-00, nicht nach"
IDD-161,"(1) 1489-00-00, nicht nach (ISTC) [2] 1490-00-00, nicht nach (GW)","1489-00-00, nicht nach"
IDD-154,null,"1489-00-00, um"
IDD-180,null,1490-00-00
IDD-191,null,1490-00-00
IDD-340,null,1490-00-00
IDD-386,null,1490-00-00
IDD-041,"(1) 1490-00-00--1491-00-00 oder (2) 1487-02-14--1490-05-21 oder (3) 1488-00-00 (GW) oder (4) 1491-00-00, um [vielmehr: 1487-00-00, nicht vor und 1490-00-00, nicht nach] (GW)",1490-00-00--1491-00-00
IDD-164,"(1) 1493-00-00, nicht nach oder (2) 1490-00-00--1495-00-00, um","1490-00-00--1495-00-00, um"
IDD-161,"(1) 1489-00-00, nicht nach (ISTC) [2] 1490-00-00, nicht nach (GW)","1490-00-00, nicht nach"
IDD-166,null,"1490-00-00, um"
IDD-221,null,"1490-00-00, um"
IDD-242,null,"1490-00-00, um"
IDD-362,null,"1490-00-00, um"
IDD-238,null,"1490-12-10, nach"
IDD-177,null,1491-00-00
IDD-176,null,"1491-00-00--1499-00-00, um"
IDD-360,"(1) 1491-00-00--1500-00-00 (ISTC) oder (2) 1495-00-00, um (GW)",1491-00-00--1500-00-00
IDD-178,"(1) 1491-00-00, um (ISTC) oder (2) 1495-00-00, um (GW)","1491-00-00, um"
IDD-179,"(1) 1491-00-00, um (ISTC) oder (2) 1495-00-00, um (GW)","1491-00-00, um"
IDD-041,"(1) 1490-00-00--1491-00-00 oder (2) 1487-02-14--1490-05-21 oder (3) 1488-00-00 (GW) oder (4) 1491-00-00, um [vielmehr: 1487-00-00, nicht vor und 1490-00-00, nicht nach] (GW)","1491-00-00, um"
IDD-028,null,"1491-00-00, um"
IDD-144,null,1492-00-00
IDD-214,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW) oder (3) 1494-00-00, um?","1492-00-00--1493-00-00, um"
IDD-212,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-00-00--1493-00-00, um"
IDD-213,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-00-00--1493-00-00, um"
IDD-215,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW)","1492-00-00--1493-00-00, um"
