IDD;anmerkung;Beitraeger;GND_Beitraeger
IDD-001;Herausgeber;Noël Beda;131340875
IDD-002;Herausgeber;Noël Beda;131340875
IDD-003;Herausgeber;Noël Beda;131340875
IDD-004;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-005;Beiträger;Bartolomeo Spina;121381536
IDD-005;Beiträger;Gulielmus Totani;122731794
IDD-006;Herausgeber;Robert Goullet;104123354
IDD-007;Herausgeber;Jacques Merlin;119760193
IDD-008;Herausgeber;Agostino Giustiniani;119241285
IDD-014;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-015;Herausgeber;Robert Goullet;104123354
IDD-017;Herausgeber;Robert Goullet;104123354
IDD-018;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-020;Herausgeber;Mathurin de Cangey;null
IDD-021;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-023;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-030;Herausgeber;Bartholomaeus Bellatus;1089365950
IDD-030;Herausgeber;Johannes Sudoris;1157854931
IDD-031;Herausgeber;Agostino Giustiniani;119241285
IDD-032;Herausgeber;Agostino Giustiniani;119241285
IDD-033;Herausgeber;Bartholomaeus Bellatus;1089365950
IDD-033;Herausgeber;Johannes Sudoris;1157854931
IDD-035;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-037;Beiträger;Bernhard von Clairvaux;118509810
IDD-038;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-039;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-043;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-044;Beiträger;Raimond Pérault;10024520X
IDD-044;Beiträger;Jodocus Badius Ascensius;11901808X
IDD-045;Beiträger;Raimond Pérault;10024520X
IDD-045;Beiträger;Jodocus Badius Ascensius;11901808X
IDD-046;Beiträger;Raimond Pérault;10024520X
IDD-046;Beiträger;Jodocus Badius Ascensius;11901808X
IDD-047;Beiträger;Philipp von Daun-Oberstein, Erzbischof von Köln;135671795
IDD-048;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-049;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-052;Beiträger;Magdalius Jacobus;104223081
IDD-052;Beiträger;Hermann von dem Busche;118983741
IDD-053;Beiträger;Peter Chalybs;119639734
IDD-057;Herausgeber;Sebastian Brant;118514474
IDD-057;Beiträger;Sebald Schreyer;119113643
IDD-058;Übersetzer;Wenzeslaus Link;118573063
IDD-058;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-059;Übersetzer;Wenzeslaus Link;118573063
IDD-059;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-060;Übersetzer;Wenzeslaus Link;118573063
IDD-060;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-061;Beiträger;Johannes Mayer von Regensburg;119756706
IDD-061;Beiträger  (Finanzier);Johannes von Regensburg Wagner;119756706
IDD-075;Beiträger;Antonius Liber;104112050
IDD-076;Beiträger;Antonius Liber;104112050
IDD-077;Beiträger;Antonius Liber;104112050
IDD-081;Beiträger;Thomas Venatorius;117370053
IDD-083;Übersetzer;Ludwig Hätzer;118719823
IDD-083;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-085;Beiträger  (vermeintlich Übersetzer ins Lateinische);Alfonsus Bonihominis;119061481
IDD-095;Herausgeber;Willibald Pirckheimer;118594605
IDD-099;Beiträger;Johannes Kusswerth;101104537
IDD-102;Beiträger;Ortwin Gratius;118697218
IDD-105;Beiträger;Ortwin Gratius;118697218
IDD-111;Beiträger;Kaiser Maximilian I.;118579371
IDD-114;Übersetzer;Philippus Beroaldus;118656589
IDD-114;Herausgeber;Andreas Probst;119795329
IDD-115;Übersetzer;Philippus Beroaldus;118656589
IDD-115;Herausgeber;Andreas Probst;119795329
IDD-116;Beiträger;Ortwin Gratius;118697218
