IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Titel;Alternativtitel;Umfang;Format;Sprache; Anmerkung;USTC_Subject
IDD-001;null;null;null;null;null;19739;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”. Francis Higman, Piety and the people: Religious printing in French, 1511–1551,Reference: no. B 9. Index Aureliensis Catalogus Librorum Sedecimo Saeculo Impressorum, Reference: no. 117426. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 3849;Quadragesimale de christiana Religiouse;(1) Quadragesimale de christiana Religiouse (Auszug: Sermo 42). (2) La petite dyablerie dont Lucifer est le chef (USTC). (3) (Taken from Sermon 42, “De alearum ludo,” of the “Quadragesimale de christiana religione” of St. Bernardine with abridgments and alterations by T. Varnet and N. Beda.);ff. (52);8°;Französisch;Signaturen A-F8 G4.  Übersetzung ins Französiche. Judendfeindlicher Druck?. British Library, Shelfmark: C 53 h 9 (1);Religious
IDD-002;null;null;null;null;null;19740;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”. Francis Higman, Piety and the people: Religious printing in French, 1511–1551, Reference: no. B 10. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: vol. 3 no. 1372. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 3851;Quadragesimale de christiana Religiouse;(1) Quadragesimale de christiana Religiouse (Auszug: Sermo 42). (2) La petite dyablerie dont Lucifer est le chef (USTC).;ff. (52);8°;Französisch;Signaturen A-F8 G4. Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);Religious
IDD-003;null;null;null;null;null;79227;Schreckenberg III (1994) 503-504. VL I (1978) 789-793. Franco Mormando, Die Dämonen des Predigers: Bernardino von Siena und der soziale Untergrund der frühen Renaissance Italiens (Chicago: University of Chicago Press, 1999, Kapitel 4, “Neubewertung von Bernardinos Antisemitismus”. H. Davies, Catalogue of a collection of early French books in the library of C. Fairfax Murray, Reference: no. 645. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 3850;Quadragesimale de christiana Religiouse;(1) Quadragesimale de christiana Religiouse (Auszug: Sermo 42). (2) La petite dyablerie dont Lucifer est le chef (USTC).;ff. (52);8°;Französisch;Signaturen A-F8 G4. Judenfeindlicher Druck? VL: Ausgabe der lat. Werke. S. Bernardini Senensis Opera omnia, ed. PP Collegii S. Bonaventurae (Quaracchi), I-IX,  1950-65. Siehe: Hünermann, Franz Josef, Die wirtschaftsethischen Predigten des hl. Bernhardin von Siena - (Universität Münster) (1939) ( UB Frankfurt, http://resolver.hebis.de/retro/original/s6060975);Games and Recreations
IDD-004;null;null;null;null;null;143784;Schreckenberg III (1994) 391-393. USTC-References: Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 85657;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;8°;Latein;null;Religious
IDD-005;null;null;null;null;null;143801;Schreckenberg III (1994) 536-539. Floerken 19. Herbert M. Adams, Catalogue of books printed on the continent of Europe, 1501–1600 in Cambridge libraries, Reference: S 1592. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 86857;Fortalitium fidei;Fortalitium fidei contra Judeos Sarracenos aliosque christiane fidei inimicos;ff. (12) ccclxxi (1);8°;Latein;Signaturen +8 ++4 a-z A-Z8 AA4;Religious
IDD-006;null;null;null;null;null;144497;Schreckenberg III (1994) 498-501. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 1193. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 81906;Scrutinium scripturarum;Scrutinium scripturarum, eximium opus quo judaica perfidia confoditur;ff. (8) CII;2°;Latein;null;Religious
IDD-007;null;null;null;null;null;145045;Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 2173. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 58262;Opera;Insignia opera in unum volumen collecta;ff. Xciii (=xciiii);2°;Latein;Beichte, Predigt;null
IDD-008;null;null;null;null;null;145168;Schreckenberg III (1994) 356-357. Floerken 22-23.;Victoria adversus Hebreos, in qua tum ex sacris literis, tum ex dictis Talmud ... monstratur veritas catholice fidei. Ex recognitione Augusti Justiniani episcopi Nebiensis;null;null;2°;Latein;"Streitschrift, Kontroversschrift. Vorlage Raymundus Martinus. eigene Hebräischkenntnisse und Quelleneinsicht. ""Den Titel Sieg übernahm er von einem jüdischen Werk antichristlicher Polemik, das kurz zuvor verfasst worden war, dem Sefer Nizzachon (??? ?????? – „Buch des Siegs“)"" (Wikipedia, Quelle: Hanne Trautner-Kromann: Shield and Sword: Jewish Polemics Against Christianity and the Christians in France and Spain from 1100–1500. Tübingen 1993, S. 102) ";null
IDD-009;null;null;null;null;null;145234;Herbert M. Adams, Catalogue of books printed on the continent of Europe, 1501–1600 in Cambridge libraries, Reference: M 158. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 2408. Philippe Renouard, Imprimeurs et libraires parisiens du XVIe siècle, Reference: /Paris II.194,456. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 78691;Rabi Mossei Aegyptii Dux seu Director dubita(n)tium aut perplexorum, in treis Libros diuisus, & summa accuratione Reuerendi patris Augustini Justiniani ordinis Praedicatorii Nebiensiu(m) Episcopi recognitus (etc.);Dux seu director dubitantium aut perplexorum, in treis libros divisus;114 Bl. ;null;Latein;Religioussphilosophie;null
IDD-009;null;null;null;null;null;145234;Herbert M. Adams, Catalogue of books printed on the continent of Europe, 1501–1600 in Cambridge libraries, Reference: M 158. Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Reference: II 2408. Philippe Renouard, Imprimeurs et libraires parisiens du XVIe siècle, Reference: /Paris II.194,456. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 78691;Rabi Mossei Aegyptii Dux seu Director dubita(n)tium aut perplexorum, in treis Libros diuisus, & summa accuratione Reuerendi patris Augustini Justiniani ordinis Praedicatorii Nebiensiu(m) Episcopi recognitus (etc.);Dux seu director dubitantium aut perplexorum, in treis libros divisus;114 Bl. ;null;Latein;Religioussphilosophie;null
IDD-010;null;null;null;null;null;145690;Schreckenberg III (1994) 536-539. Floerken 19;Fortalitium fidei;Fortalitium fidei in universos christiane Religiousis hostes Judaeorum et Saracenorum;ff. (12) ccclxxi (1);4°;Latein;Signaturen: +8 ++4. a-z8 A-Z8 AA4;Religious
IDD-011;null;null;null;null;null;155209;Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 82259;Contra Judaeos;null;null;4°;Latein;Exemplar: Avignon, France, Bibliothèque municipale Livrée Ceccano;Religious
IDD-012;null;null;null;null;null;155362;Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 82265;Contra Judaeos;null;null;4°;Latein;Exemplar: Avignon, France, Bibliothèque municipale Livrée Ceccano;Religious
IDD-013;null;null;null;null;null;155628;Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 82279;Contra Judaeos;null;null;4°;Latein;Exemplar: Avignon, France, Bibliothèque municipale Livrée Ceccano;Religious
IDD-014;null;null;null;null;null;155756;Schreckenberg III (1994) 391-393. USTC-References: Henri-Louis Baudrier and Julian Baudrier, Bibliographie lyonnaise. Recherches sur les imprimeurs libraires, relieurs et fondeurs de lettres de Lyon au XVIe siècle, Reference: XII 87. Sybille von Gültlingen, Bibliographie des livres imprimés à Lyon au seizième siècle, Reference: I p. 88: 133. Antonio Palau y Dulcet, Manual del librero hispanoamericano : bibliografía general española e hispanoamericana desde la invención de la imprenta hasta nuestros tiempos con el valor comercial de los impresos descritos, Reference: 289203. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601. Reference: 85659;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Tractatus contra Judeos;ff. (32);8°;Latein;null;Religious
IDD-015;null;null;null;null;null;180282;Schreckenberg III (1994) 498-501. Herbert M. Adams, Catalogue of books printed on the continent of Europe, 1501–1600 in Cambridge libraries, Reference: P 507. Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, Reference: 81905.;Scrutinium scripturarum;null;ff. (8) 102;2°;Latein;null;Religious
IDD-016;null;null;null;null;null;180316;USTC verweist auf: Brigitte Moreau, Inventaire Chronologique des Éditions Parisiennes du XVIe siècle, Bd. 1, 299: 190 (UZK, Hauptabt. / Lesesaal Historische Sammlungen, Signatur: HL/Dkp111/2-1). Andrew Pettegree, Malcolm Walsby and Alexander Wilkinson, FB: French Vernacular Books, Books published in the French language before 1601, 88924 (UZK, Hauptabt. / Lesesaal Historische Sammlungen, Signatur: HL/Djf20/20-1);Dialogus (etc.);Dialogus Prothymopatros kai phronimos. Dialogus: Qui videlicet pro patria promptus est et Prudens. De Judeorum ritibus compendium. Tabula elementorum hebraicorum. Documenta ut debeant illa elementa proferri ac legi. Ut Hebrei numeros signant (USTC);90 Bl.;null;(1) Latein (ÖNB). (2) Griechisch (USTC);Original von Österreichische Nationalbibliothek, digitalisiert: 24. Nov. 2011;null
