IDD;anmerkung;Drucker;GND_Drucker;ISNI
IDD-001;null;Agostino Zani;1150711809;null
IDD-001;null;Jean Jehannot;1037657144;null
IDD-002;null;Alain Lotrian;1037598210;null
IDD-003;null;Witwe von Jean Trepperel (GND 1089251890) (Druckerin und Buchhändlerin);1150711809;null
IDD-004;null;Guillaume Desplains;null;null
IDD-004;null;Guillaume Eustace (Drucker und Verleger);null;0000 0000 7783 2834
IDD-004;null;Raoul Couturier;null;null
IDD-005;null;Jean de Romoys;null;0000 0001 1357 7149
IDD-006;null;Antoine Bonnemère;1089741243;null
IDD-006;null;François Regnault;1037566718;null
IDD-006;null;Jean Frellon;1037511565;null
IDD-007;null;André Bocard;1037573307;null
IDD-007;null;Jean Petit (Buchhändler);(1) 103753445X oder (2) 1037534433;null
IDD-008;null;Gilles de Gourmont;1037571444;null
IDD-009;null;Jodocus Badius Ascensius;11901808X;null
IDD-010;null;Jean de Moylin;1037572815;null
IDD-011;null;Etienne Gueynard;129023329;null
IDD-012;null;Jacques Myt;1037545036;null
IDD-013;null;Jean Moylin;1037572815;null
IDD-014;null;in aedibus Claude Nourry;null;0000 0001 2137 3111
IDD-015;null;Antoine Bonnemère;1089741243;null
IDD-015;null;Jean Frellon;1037511565;null
IDD-016;null;Gilles de Gourmont;1037571444;null
IDD-017;null;Antoine Bonnemère;1089741243;null
IDD-017;null;François Regnault;1037566718;null
IDD-017;null;Jean Frellon;1037511565;null
IDD-018;null;Guillaume Desplains;null;null
IDD-018;null;Guillaume Eustace (Drucker und Verleger);null;0000 0003 6030 1668
IDD-018;null;Pierre Gaudoul;null;0000 0001 2114 8459
IDD-018;null;Raoul Couturier;null;null
IDD-019;null;Henricus Stephanus;118981099;null
IDD-020;null;Jean Petit (Buchhändler);(1) 103753445X oder (2) 1037534433;null
IDD-020;null;Josse Bade;11901808X;null
IDD-021;null;Pierre Gaudoul;null;0000 0001 2114 8459
IDD-023;null;Guillaume Desplains;null;null
IDD-023;null;Guillaume Eustace (Drucker und Verleger);null;0000 0000 7783 2834
IDD-023;null;Pierre Gaudoul;null;0000 0001 2114 8459
IDD-023;null;Raoul Couturier;null;null
IDD-024;null;Martin Crantz;136437753;null
IDD-024;null;Michael Friburger;134198107;null
IDD-024;null;Ulrich Gering;13325366X;null
IDD-025;null;Guy Marchant;138932433;null
IDD-025;null;Jean Petit (Buchhändler);(1) 103753445X oder (2) 1037534433;null
IDD-026;null;Antoine Denidel;1237890829;null
IDD-026;null;Denis Roce (Verleger);1037571983;null
IDD-026;null;Robert Gourmont;1171273118;null
IDD-027;null;Michel Le Noir;103762839X;null
IDD-028;?;Engelhardus Schultis;(tw-Identifier: of0713);null
IDD-029;null;Johannes Siber;138430934;null
IDD-030;null;Jean Petit (Buchhändler);(1) 103753445X oder (2) 1037534433;null
IDD-030;null;Poncet Le Preux;1037566688;null
IDD-031;null;Geoffroy Enguilbert;129043621;null
IDD-031;null;Guillaume des Prez;null;0000 0000 3027 1435
IDD-031;null;Jean de Marnef;1037603311;null
IDD-032;null;François Regnault;1037566718;null
IDD-033;null;Poncet Le Preux;1037566688;null
IDD-034;null;François Regnault;1037566718;null
IDD-034;null;Gilles de Gourmont;1037571444;null
IDD-035;null;Diego de Gumiel;(tw-Identifier: of0238);null
IDD-036;null;Gerardus de Leempt;138893527;null
IDD-036;null;Nicolaus Ketelaer;123177871;null
IDD-037;null;Wilhelmus Hees;1037570529;null
IDD-038;null;Fratres Vitae Communis;(tw-Identifier: of1611);null
IDD-039;null;Gerard Leeu;119198711;null
IDD-040;null;Gerard Leeu;119198711;null
IDD-041;null;Mathias van der Goes;138825602;null
IDD-042;null;Richard Pynson;11879373X;null
IDD-043;null;Jan Pekk;null;null
IDD-044;null;Gregor Bartholomaeus;1037506529;null
IDD-045;null;Adam Petri de Langendorff;119784998;null
IDD-046;null;Adam Petri de Langendorff;119784998;null
IDD-047;null;Hermann Gutschaiff;1037540719;null
IDD-048;null;Silvan Otmar;129241172;null
