IDD;Mitverfasser;GNDMitverfasser;Mittitel
IDD-025;Bernhardin von Siena;11850987X;Alphabetum divini amoris. Add: Contemplationes
IDD-026;Bernhard von Clairvaux;118509810;De derelictione Jesu
IDD-026;Bernhardin von Siena;11850987X;Alphabetum divini amoris. Add: Contemplationes
IDD-029;Guillaume Le Breton (Kommentator);11884038X;Expositiones prologorum.
IDD-029;Mathias Döring (Kommentator);100964664;Replik (Defensorium postillae Nicolai de Lyra contra Paulum Burgensem).
IDD-029;Nicolaus de Lyra (Kommentator);119238683;Postilla.
IDD-029;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Additiones.
IDD-036;Flavius Magnus Aurelius Cassiodorus;118519514;Constantii imperatoris et Liberii pape pro defensione Athanasii dialogus (Historia ecclesiastica tripartita, Lib. V, cap. 17-18)
IDD-036;Johannes de Turrecremata;118642928;De Salute animae
IDD-038;Athanasius;118504843;Contra haereticos.
IDD-038;Dionysius Carthusiensis;118679716;Dialogus Christiani contra Sarracenum.
IDD-038;Eusebius Caesariensis;118531425;Legenda S. Sylvestri.
IDD-038;Johannes de Turrecremata;118642928;Contra principales errores Mahometi et Turcorum Sarracenorum. Add: Dionysius Carthusiensis: Dialogus Christiani contra Sarracenum. Samuel, Rabbi: Contra errores Judaeorum (tr: Alphonsus Boni Hominis). Nicolaus de Lyra: Quaestio de probatione per scripturas a Judaeis receptas. Prosper Aquitanus: Responsiones contra objectiones Vincentianos, Responsiones ad excerpta ..., Responsiones scilicet Augustini ad dulcitium de octo quaestionibus ab eo missis. Athanasius: Contra haereticos. Eusebius Caesariensis: Legenda S. Sylvestri
IDD-038;Prosper Aquitanus;118793519;Quaestio de probatione per scripturas a Judaeis receptas.
IDD-044;Angelo Poliziano;118595512;Orationes.
IDD-044;Ermolao Barbaro, d. J.;118657119;Orationes.
IDD-044;Francesco Petrarca;118593234;Paeanes beatae virginis ex poemate vernaculo in latinum conversi [EST: Vergine bella <lat.>]
IDD-044;Giasone Dal Maino;10037381X;Ad ... Maximilianum ... imperatorem oratio.
IDD-044;Lucius Caecilius Firmianus Lactantius;118725831;Pia nenia verbis Christi ... crucifixi.
IDD-044;Philippus Beroaldus;118656589;(1) Annotationes in Galenum. (2) Declamatio ebriosi, scortatoris et aleatoris [EST: Declamatio ebriosi, scortatoris, aleatoris de vitiositate disceptantium]. (3) Declamatio philosophi, medici et oratoris [EST: Declamatio philosophi, medici, oratoris de excellentia disceptantium]. (4) Epigrammata ac ... carmina. (5) De felicitate. (6) De septem sapientium sententiis libellus [EST: Libellus, quo septem Graeciae sapientium proverbia discutiuntur]. (7) De optimo statu. (8) Opusculum de terrae motu et pestilentia. (9) Oratio proverbialis [EST: Oratio proverbiorum]. (10) Symbola Pythagorae moraliter explicata
IDD-045;Angelo Poliziano;118595512;Orationes.
IDD-045;Ermolao Barbaro, d. J.;118657119;Orationes.
IDD-045;Francesco Petrarca;118593234;Paeanes beatae virginis ex poemate vernaculo in latinum conversi [EST: Vergine bella <lat.>]
IDD-045;Giasone Dal Maino;10037381X;Ad ... Maximilianum ... imperatorem oratio.
IDD-045;Lucius Caecilius Firmianus Lactantius;118725831;Pia nenia verbis Christi ... crucifixi.
IDD-045;Philippus Beroaldus;118656589;(1) Annotationes in Galenum. (2) Declamatio ebriosi, scortatoris et aleatoris [EST: Declamatio ebriosi, scortatoris, aleatoris de vitiositate disceptantium]. (3) Declamatio philosophi, medici et oratoris [EST: Declamatio philosophi, medici, oratoris de excellentia disceptantium]. (4) Epigrammata ac ... carmina. (5) De felicitate. (6) De septem sapientium sententiis libellus [EST: Libellus, quo septem Graeciae sapientium proverbia discutiuntur]. (7) De optimo statu. (8) Opusculum de terrae motu et pestilentia. (9) Oratio proverbialis [EST: Oratio proverbiorum]. (10) Symbola Pythagorae moraliter explicata
IDD-046;Angelo Poliziano;118595512;Orationes.
IDD-046;Ermolao Barbaro, d. J.;118657119;Orationes.
IDD-046;Francesco Petrarca;118593234;Paeanes beatae virginis ex poemate vernaculo in latinum conversi [EST: Vergine bella <lat.>]
IDD-046;Giasone Dal Maino;10037381X;Ad ... Maximilianum ... imperatorem oratio.
IDD-046;Lucius Caecilius Firmianus Lactantius;118725831;Pia nenia verbis Christi ... crucifixi.
IDD-046;Philippus Beroaldus;118656589;(1) Annotationes in Galenum. (2) Declamatio ebriosi, scortatoris et aleatoris [EST: Declamatio ebriosi, scortatoris, aleatoris de vitiositate disceptantium]. (3) Declamatio philosophi, medici et oratoris [EST: Declamatio philosophi, medici, oratoris de excellentia disceptantium]. (4) Epigrammata ac ... carmina. (5) De felicitate. (6) De septem sapientium sententiis libellus [EST: Libellus, quo septem Graeciae sapientium proverbia discutiuntur]. (7) De optimo statu. (8) Opusculum de terrae motu et pestilentia. (9) Oratio proverbialis [EST: Oratio proverbiorum]. (10) Symbola Pythagorae moraliter explicata
IDD-052;Arnoldus de Tongern;10065844X;Alphabeta in maledicos Judaeos et Thalmud.
IDD-052;Johannes Reuchlin;118744658;Alphabeta in maledicos judaeos et thalmud articuli sive propones de judaico favore nimis suspecte. Ex libello theutonico joannis reuchlin legum doctoris <cui speculi ocularis titulus inscriptus > extracte. Cum annotationibus et improbationibus venerabilis
IDD-057;Konrad Celtis;118519891;Ludus Dianae.
IDD-057;Konrad Celtis;118519891;Germania generalis
IDD-057;Konrad Celtis;118519891;Conradi celtis protucii primi inter Germanos imperatoriis manibus poete laureati quatu or libri amorum secundum quatuor latera Germanie feliciter incipiunt
IDD-057;Konrad Celtis;118519891;Hymnus sapphicus in vitam sancti Sebaldi.
IDD-057;Vincentius Longinus;4350350;Panegyricus.
IDD-095;Franciscus Irenicus;119193426;Oratio protreptica in amorem Germaniae.
IDD-124;Mathias Döring (Kommentator);100964664;Replik (Defensorium postillae Nicolai de Lyra contra Paulum Burgensem).
IDD-124;Nicolaus de Lyra (Kommentator);119238683;Postilla.
IDD-124;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Additiones.
IDD-140;Anselmus Laudunensis (Kommentator);118649566;Glossa ordinaria
IDD-140;Guillaume Le Breton (Kommentator);11884038X;Expositiones prologorum.
IDD-140;Mathias Döring (Kommentator);100964664;Replik (Defensorium postillae Nicolai de Lyra contra Paulum Burgensem).
IDD-140;Nicolaus de Lyra (Kommentator);119238683;Postilla.
IDD-140;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Additiones.
IDD-140;Walafridus Strabo (Kommentator);118628550;Glossa ordinaria.
IDD-141;Mathias Döring (Kommentator);100964664;Replik (Defensorium postillae Nicolai de Lyra contra Paulum Burgensem).
IDD-141;Nicolaus de Lyra (Kommentator);119238683;Postilla.
IDD-141;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Additiones.
IDD-142;Guillaume Le Breton (Kommentator);11884038X;Expositiones prologorum.
IDD-142;Mathias Döring (Kommentator);100964664;Replik (Defensorium postillae Nicolai de Lyra contra Paulum Burgensem).
IDD-142;Nicolaus de Lyra (Kommentator);119238683;Postilla.
IDD-142;Paulus Burgensis, Paulus von Burgos, Paulus de Santa Maria, Pablo de Santa Maria, Salomo ben Levi;119105144;Additiones.
IDD-143;Guillaume Le Breton (Kommentator);11884038X;Expositiones prologorum.
