IDD;anmerkung;Druckort;gnd_Ort;Land;gnd_Land
IDD-001;null;Paris;4044660-8;Frankreich;XA-FR
IDD-002;null;Paris;4044660-8;Frankreich;XA-FR
IDD-003;null;Paris;4044660-8;Frankreich;XA-FR
IDD-004;null;Paris;4044660-8;Frankreich;XA-FR
IDD-005;null;Lyon;4036770-8;Frankreich;XA-FR
IDD-006;null;Paris;4044660-8;Frankreich;XA-FR
IDD-007;null;Paris;4044660-8;Frankreich;XA-FR
IDD-008;null;Paris;4044660-8;Frankreich;XA-FR
IDD-010;null;Lyon;4036770-8;Frankreich;XA-FR
IDD-011;null;Lyon;4036770-8;Frankreich;XA-FR
IDD-012;null;Lyon;4036770-8;Frankreich;XA-FR
IDD-013;null;Lyon;4036770-8;Frankreich;XA-FR
IDD-014;null;Lyon;4036770-8;Frankreich;XA-FR
IDD-015;null;Paris;4044660-8;Frankreich;XA-FR
IDD-016;null;Paris;4044660-8;Frankreich;XA-FR
IDD-017;null;Paris;4044660-8;Frankreich;XA-FR
IDD-018;null;Paris;4044660-8;Frankreich;XA-FR
IDD-019;null;Paris;4044660-8;Frankreich;XA-FR
IDD-020;null;Paris;4044660-8;Frankreich;XA-FR
IDD-021;null;Paris;4044660-8;Frankreich;XA-FR
IDD-022;null;Paris;4044660-8;Frankreich;XA-FR
IDD-023;null;Paris;4044660-8;Frankreich;XA-FR
IDD-024;null;Paris;4044660-8;Frankreich;XA-FR
IDD-025;null;Paris;4044660-8;Frankreich;XA-FR
IDD-026;null;Paris;4044660-8;Frankreich;XA-FR
IDD-027;null;Paris;4044660-8;Frankreich;XA-FR
IDD-028;null;Lyon;4036770-8;Frankreich;XA-FR
IDD-029;null;Lyon;4036770-8;Frankreich;XA-FR
IDD-030;null;Paris;4044660-8;Frankreich;XA-FR
IDD-031;null;Paris;4044660-8;Frankreich;XA-FR
IDD-032;null;Paris;4044660-8;Frankreich;XA-FR
IDD-033;null;Paris;4044660-8;Frankreich;XA-FR
IDD-034;null;Paris;4044660-8;Frankreich;XA-FR
IDD-035;null;Valladolid;4119355-6;Spanien;XA-ES
IDD-036;null;Utrecht;4062222-8;Niederlande;XA-NL
IDD-037;null;Utrecht;4062222-8;Niederlande;XA-NL
IDD-038;null;Brüssel;4008460-7;Belgien;XA-BE
IDD-039;null;Antwerpen;4002364-3;Belgien;XA-BE
IDD-040;null;Antwerpen;4002364-3;Belgien;XA-BE
IDD-041;null;Antwerpen;4002364-3;Belgien;XA-BE
IDD-042;null;London;4074335-4;Großbritannien;XA-GB
IDD-043;null;Pilsen;4076145-9;Tschechischen, Westböhmen;XA-CZ
IDD-044;null;Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS
IDD-045;null;Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS
IDD-046;null;Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS
IDD-047;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW
IDD-048;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY
IDD-049;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY
IDD-050;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW
IDD-051;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY
IDD-052;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW
IDD-053;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY
IDD-054;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW
IDD-055;null;Strassburg;4057878-1;Frankreich;XA-FR
IDD-056;null;Strassburg;4057878-1;Frankreich;XA-FR
IDD-057;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY
